goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkUnicodeIs/IsPrint/matching_only         	    4540	    270358 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     598	   1967611 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     602	   1953549 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     584	   2030346 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     594	   2074895 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     583	   2044636 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     589	   2036515 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     576	   1961739 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     602	   2032671 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     576	   1952258 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsPrint/all_valid_UTF8        	     591	   2118436 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   85030	     15054 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   87864	     14419 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   88003	     14400 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   88371	     14347 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   87640	     14081 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   83586	     14630 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   84013	     13774 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   88930	     13713 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   87794	     13875 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/matching_only        	   86029	     13718 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     681	   1780137 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     729	   1659834 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     723	   1769857 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     706	   1771132 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     715	   1684749 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     675	   1677362 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     692	   1672064 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     693	   1676480 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     718	   1785691 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsSymbol/all_valid_UTF8       	     724	   1720533 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnicodeIs/IsUpper/matching_only         	  380542	      3247 ns/op	       0 B/op	       0 allocs/op
