goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/strings.ContainsRune-8                                                       620.0µ ±  6%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/isStrategy-8                                                                        2.611µ ±  1%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     51.83µ ±  2%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   31.70µ ±  4%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    691.1µ ±  6%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  595.2µ ±  1%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/isStrategy-8                                                                   2.435µ ±  3%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/bytes.ContainsAny-8                                                        92.18µ ±  7%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/strings.ContainsAny-8                                                      41.98µ ±  8%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/bytes.ContainsRune-8                                                       625.9µ ±  1%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/strings.ContainsRune-8                                                     615.9µ ±  2%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/isStrategy-8                                                                      2.720µ ±  4%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/bytes.ContainsAny-8                                                        179.7µ ±  8%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/strings.ContainsAny-8                                                      70.83µ ±  1%
