goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    1885	    626617 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    1975	    615797 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2014	    594361 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2066	    587248 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2048	    588108 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2053	    591585 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    1960	    589580 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2002	    587921 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2011	    586325 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8              	    2000	    602810 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  576657	      2065 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  619198	      2013 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  547612	      2062 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  594258	      2070 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                               	  603098	      2021 ns/op	       0 B/op	       0 allocs/op
